what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1303073545813
java.runtime.version,sysinfo,,,"1.6.0_20-b20",1303073545813
java.specification.name,sysinfo,,,"Java Platform API Specification",1303073545813
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1303073545813
java.specification.version,sysinfo,,,"1.6",1303073545813
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1303073545813
java.version,sysinfo,,,"1.6.0_20",1303073545813
java.vm.info,sysinfo,,,"mixed mode, sharing",1303073545813
java.vm.name,sysinfo,,,"OpenJDK Client VM",1303073545813
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1303073545813
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1303073545813
java.vm.specification.version,sysinfo,,,"1.0",1303073545813
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1303073545813
java.vm.version,sysinfo,,,"19.0-b09",1303073545813
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1303073547690
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1303073547736
closed,view,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.internal.introview",1303073547758
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303073557796
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.import",1303073617178
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303073617199
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303073622297
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.import",1303073629693
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303073629726
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303073633543
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303073817175
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303073817795
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303073818670
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303073819180
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303073850094
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303073866069
started,bundle,org.eclipse.core.filesystem,1.2.1.R35x_v20091203-1235,"org.eclipse.core.filesystem",1303073866249
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.exit",1303073866411
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1303073866573
stopped,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1303073866574
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1303073866575
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1303073866576
stopped,bundle,com.android.ide.eclipse.adt,10.0.0.v201102162101-104271,"com.android.ide.eclipse.adt",1303073866576
stopped,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1303073866577
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.200.v20090930-2100_R35x,"org.eclipse.jdt.apt.ui",1303073866578
stopped,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1303073866581
stopped,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1303073866646
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.400.v200904300717,"org.eclipse.wst.dtd.ui",1303073866648
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.204.v200909021537,"org.eclipse.wst.xsd.ui",1303073866654
stopped,bundle,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui",1303073866655
stopped,bundle,org.eclipse.wst.common.ui,1.1.402.v200901262305,"org.eclipse.wst.common.ui",1303073866657
stopped,bundle,org.eclipse.wst.sse.ui,1.1.102.v200910200227,"org.eclipse.wst.sse.ui",1303073866658
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.201002161416,"org.eclipse.cdt.debug.mi.ui",1303073866659
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.0.0.201002161416,"org.eclipse.cdt.dsf.gdb.ui",1303073866660
stopped,bundle,org.eclipse.cdt.dsf.ui,2.0.1.201002161416,"org.eclipse.cdt.dsf.ui",1303073866661
stopped,bundle,org.eclipse.cdt.launch,6.0.0.201002161416,"org.eclipse.cdt.launch",1303073866661
stopped,bundle,org.eclipse.cdt.debug.ui,6.0.0.201002161416,"org.eclipse.cdt.debug.ui",1303073866662
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,5.1.0.201002161416,"org.eclipse.cdt.managedbuilder.ui",1303073866663
stopped,bundle,org.eclipse.cdt.make.ui,6.0.1.201002161416,"org.eclipse.cdt.make.ui",1303073866664
stopped,bundle,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui",1303073866667
stopped,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1303073866667
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring",1303073866668
stopped,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1303073866755
stopped,bundle,org.eclipse.egit.ui,0.11.3,"org.eclipse.egit.ui",1303073866758
stopped,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1303073866759
stopped,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1303073866822
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1303073866828
stopped,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1303073866829
